epochs,cost_train,cost_test
100,28.515132904052734,8.731921195983887
200,14.206074714660645,9.626723289489746
300,15.10912799835205,4.831981182098389
400,5.559135913848877,6.882420063018799
500,4.848616123199463,1.1943292617797852
600,28.612638473510742,2.4693055152893066
700,9.90779972076416,1.0800373554229736
800,2.605384111404419,2.5746800899505615
900,1.379987359046936,0.7405977845191956
1000,4.9970502853393555,1.0980732440948486
1100,1.8750711679458618,1.6085442304611206
1200,3.774338722229004,0.5858975052833557
1300,2.4497451782226562,1.463513731956482
1400,1.0826725959777832,0.7902960777282715
1500,1.2853411436080933,0.8770170211791992
1600,3.6556355953216553,2.580280303955078
1700,1.4919641017913818,0.997463047504425
1800,2.786468982696533,0.9842936396598816
1900,1.0748404264450073,0.806510329246521
2000,0.5819995999336243,0.6421105861663818
2100,2.2969675064086914,0.7175002098083496
2200,0.7682739496231079,0.6992746591567993
2300,1.9645582437515259,0.9923513531684875
2400,1.4901940822601318,0.8630094528198242
2500,2.8079280853271484,1.2280592918395996
